Rank,Player,Team,Salary
1,Stephen Curry\curryst01,GSW,34682550
2,LeBron James\jamesle01,CLE,33285709
3,Paul Millsap\millspa01,DEN,31269231
4,Gordon Hayward\haywago01,BOS,29727900
5,Blake Griffin\griffbl01,DET,29512900
6,Kyle Lowry\lowryky01,TOR,28703704
7,Russell Westbrook\westbru01,OKC,28530608
8,Mike Conley\conlemi01,MEM,28530608
9,James Harden\hardeja01,HOU,28299399
10,DeMar DeRozan\derozde01,TOR,27739975
11,Al Horford\horfoal01,BOS,27734405
12,Carmelo Anthony\anthoca01,OKC,26243760
13,Damian Lillard\lillada01,POR,26153057
14,Jrue Holiday\holidjr01,NOP,25686667
15,Chris Bosh\boshch01,MIA,25289390
16,Kevin Durant\duranke01,GSW,25000000
17,Otto Porter\porteot01,WAS,24773250
18,Chris Paul\paulch01,HOU,24599495
19,C.J. McCollum\mccolcj01,POR,23962573
20,Bradley Beal\bealbr01,WAS,23775506
21,Anthony Davis\davisan02,NOP,23775506
22,Andre Drummond\drumman01,DET,23775506
23,Hassan Whiteside\whiteha01,MIA,23775506
24,Dwight Howard\howardw01,CHO,23500000
25,Chandler Parsons\parsoch01,MEM,23112004
26,Harrison Barnes\barneha02,DAL,23112004
27,J.J. Redick\redicjj01,PHI,23000000
28,Marc Gasol\gasolma01,MEM,22642350
29,Kevin Love\loveke01,CLE,22642350
30,Brook Lopez\lopezbr01,LAL,22642350
31,DeAndre Jordan\jordade01,LAC,22642350
32,Steven Adams\adamsst01,OKC,22471910
33,Giannis Antetokounmpo\antetgi01,MIL,22471910
34,Nicolas Batum\batumni01,CHO,22434783
35,Rudy Gobert\goberru01,UTA,21974719
36,LaMarcus Aldridge\aldrila01,SAS,21461010
37,Victor Oladipo\oladivi01,IND,21000000
38,Enes Kanter\kanteen01,NYK,20566802
39,Danilo Gallinari\gallida01,LAC,20559599
40,Serge Ibaka\ibakase01,TOR,20061729
41,George Hill\hillge01,CLE,20000000
42,Ryan Anderson\anderry01,HOU,19578455
43,Paul George\georgpa01,OKC,19508958
44,Allen Crabbe\crabbal01,BRK,19332500
45,Jimmy Butler\butleji01,MIN,19301070
46,Jeff Teague\teaguje01,MIN,19000000
47,Kawhi Leonard\leonaka01,SAS,18868625
48,Kyrie Irving\irvinky01,BOS,18868625
49,John Wall\walljo01,WAS,18063850
50,DeMarcus Cousins\couside01,NOP,18063850
51,Wesley Matthews\matthwe02,DAL,17884176
52,Greg Monroe\monrogr01,PHO,17884176
53,Klay Thompson\thompkl01,GSW,17826150
54,Joakim Noah\noahjo01,NYK,17765000
55,Kentavious Caldwell-Pope\caldwke01,LAL,17745894
56,Luol Deng\denglu01,LAL,17190000
57,Evan Turner\turneev01,POR,17131148
58,Goran Dragic\dragigo01,MIA,17000450
59,Evan Fournier\fournev01,ORL,17000000
60,Bismack Biyombo\biyombi01,ORL,17000000
61,Kent Bazemore\bazemke01,ATL,16910113
62,Robert Covington\covinro01,PHI,16698103
63,Ian Mahinmi\mahinia01,WAS,16661641
64,Tim Hardaway\hardati02,NYK,16500000
65,Draymond Green\greendr01,GSW,16400000
66,Tristan Thompson\thomptr01,CLE,16400000
67,Reggie Jackson\jacksre01,DET,16000000
68,Pau Gasol\gasolpa01,SAS,16000000
69,Tobias Harris\harrito02,LAC,16000000
70,Dwyane Wade\wadedw01,CHI,15550000
71,Dennis Schroder\schrode01,ATL,15500000
72,Jonas Valanciunas\valanjo01,TOR,15460675
73,Tony Parker\parketo01,SAS,15453126
74,Timofey Mozgov\mozgoti01,BRK,15280000
75,Andre Iguodala\iguodan01,GSW,14814815
76,DeMarre Carroll\carrode01,BRK,14800000
77,Thaddeus Young\youngth01,IND,14796348
78,Eric Bledsoe\bledser01,MIL,14500000
79,Ricky Rubio\rubiori01,UTA,14275000
80,Joe Ingles\inglejo01,UTA,14136364
81,Gorgui Dieng\dienggo01,MIN,14112360
82,Khris Middleton\middlkh01,MIL,14100000
83,Mason Plumlee\plumlma01,DEN,14041096
84,Taj Gibson\gibsota01,MIN,14000000
85,James Johnson\johnsja01,MIA,13954000
86,Robin Lopez\lopezro01,CHI,13788500
87,J.R. Smith\smithjr01,CLE,13760000
88,Brandon Knight\knighbr03,PHO,13618750
89,Marvin Williams\willima02,CHO,13168750
90,Tyson Chandler\chandty01,PHO,13000000
91,Michael Kidd-Gilchrist\kiddgmi01,CHO,13000000
92,Eric Gordon\gordoer01,HOU,12943020
93,Kenneth Faried\farieke01,DEN,12921348
94,Marcin Gortat\gortama01,WAS,12782609
95,Cody Zeller\zelleco01,CHO,12584270
96,Miles Plumlee\plumlmi01,ATL,12500000
97,Nikola Mirotic\mirotni01,NOP,12500000
98,Zach Randolph\randoza01,SAC,12307692
99,Nikola Vucevic\vucevni01,ORL,12250000
100,Solomon Hill\hillso01,NOP,12236535
101,Wilson Chandler\chandwi01,DEN,12016854
102,Jeremy Lin\linje01,BRK,12000000
103,Kemba Walker\walkeke02,CHO,12000000
104,Derrick Favors\favorde01,UTA,12000000
105,Austin Rivers\riverau01,LAC,11825000
106,Courtney Lee\leeco01,NYK,11747890
107,Nikola Pekovic\pekovni01,MIN,11600000
108,Jordan Clarkson\clarkjo01,CLE,11562500
109,John Henson\hensojo01,MIL,11422536
110,Dion Waiters\waitedi01,MIA,11000000
111,Amir Johnson\johnsam01,PHI,11000000
112,Jamal Crawford\crawfja01,ATL,10942762
113,Alec Burks\burksal01,UTA,10845506
114,Patty Mills\millspa02,SAS,10714286
115,Kelly Olynyk\olynyke01,MIA,10607169
116,Omer Asik\asikom01,CHI,10595505
117,Terrence Ross\rosste01,ORL,10500000
118,Mirza Teletovic\teletmi01,MIL,10500000
119,Bojan Bogdanovic\bogdabo02,IND,10500000
120,Jon Leuer\leuerjo01,DET,10497319
121,Iman Shumpert\shumpim01,SAC,10337079
122,Maurice Harkless\harklma01,POR,10162922
123,Jared Dudley\dudleja01,PHO,10000000
124,Darren Collison\collida01,IND,10000000
125,Danny Green\greenda02,SAS,10000000
126,Meyers Leonard\leoname01,POR,9904495
127,Tony Snell\snellto01,MIL,9821429
128,Al Jefferson\jeffeal01,IND,9769821
129,Matthew Dellavedova\dellama01,MIL,9607500
130,Joe Johnson\johnsjo02,SAC,9505000
131,Bogdan Bogdanovic\bogdabo01,SAC,9470614
132,Andre Roberson\roberan03,OKC,9259259
133,Trevor Booker\booketr01,PHI,9125000
134,Dwight Powell\poweldw01,DAL,9003125
135,Jerryd Bayless\bayleje01,PHI,9000000
136,Avery Bradley\bradlav01,LAC,8808989
137,JaMychal Green\greenja01,MEM,8533333
138,E'Twaun Moore\mooreet01,NOP,8445024
139,Rudy Gay\gayru01,SAS,8406000
140,Kosta Koufos\koufoko01,SAC,8393000
141,Markieff Morris\morrima02,WAS,8000000
142,Vince Carter\cartevi01,SAC,8000000
143,Garrett Temple\templga01,SAC,8000000
144,C.J. Miles\milescj01,TOR,7936509
145,Cristiano Felicio\feliccr01,CHI,7843500
146,Shaun Livingston\livinsh01,GSW,7692308
147,Cory Joseph\josepco01,IND,7630000
148,P.J. Tucker\tuckepj01,HOU,7590035
149,Corey Brewer\breweco01,LAL,7579366
150,Andrew Wiggins\wiggian01,MIN,7574322
151,Darrell Arthur\arthuda01,DEN,7464912
152,Channing Frye\fryech01,LAL,7420912
153,Trevor Ariza\arizatr01,HOU,7420912
154,Al-Farouq Aminu\aminual01,POR,7319035
155,Cole Aldrich\aldrico01,MIN,7300000
156,D.J. Augustin\augusdj01,ORL,7250000
157,Markelle Fultz\fultzma01,PHI,7026240
158,Lou Williams\willilo02,LAC,7000000
159,Kyle Korver\korveky01,CLE,7000000
160,Jeremy Lamb\lambje01,CHO,7000000
161,Boban Marjanovic\marjabo01,LAC,7000000
162,Jae Crowder\crowdja01,UTA,6796117
163,Jabari Parker\parkeja01,MIL,6782392
164,Langston Galloway\gallola01,DET,6666667
165,Lance Thomas\thomala01,NYK,6655325
166,Ed Davis\davised01,POR,6352531
167,Marco Belinelli\belinma01,ATL,6306060
168,Jonathon Simmons\simmojo02,ORL,6300000
169,Lonzo Ball\balllo01,LAL,6286560
170,Wayne Ellington\ellinwa01,MIA,6270000
171,Isaiah Thomas\thomais02,LAL,6261395
172,Karl-Anthony Towns\townska01,MIN,6216840
173,Ben Simmons\simmobe01,PHI,6168840
174,Joel Embiid\embiijo01,PHI,6100266
